Question,Type,Option A,Option B,Option C,Option D,Option E,Option F,Correct Answer,Accepted Answers (Open Ended Questions Only),Time Limit,Points,Hint (Optional),Category (Optional),Round (Optional),Feedback (Optional)
How many of us RSVP'd for the reunion?,multiple-choice,42,48,54,61,,,54,,20,1000,,,"Round 1 · The class, by the numbers",
How many different cities did we fly in from?,multiple-choice,9,13,17,24,,,17,,20,1000,,,"Round 1 · The class, by the numbers",
"How many New Yorkers, counting Brooklyn?",multiple-choice,6,8,11,14,,,11,,20,1000,,,"Round 1 · The class, by the numbers",
Which of these cities has exactly one M21 flying in?,multiple-choice,Tokyo,São Paulo,Lagos,Toronto,,,Lagos,,20,1000,,,"Round 1 · The class, by the numbers",
"Organizers aside, who RSVP'd first, at 12:31 PM on opening day?",multiple-choice,Ahmed,Thao Chi,Cristi,Siyu,,,Cristi,,20,1000,,,"Round 1 · The class, by the numbers",
Clip 1 — whose voice is this? (listen to the clip first),multiple-choice,Bani,Haruna,Siyu,Megan,,,Haruna,,20,1000,Host plays the clip from m2021.co/voices before revealing options,,Round 2 · Whose voice is this?,
Clip 2 — whose voice is this? (listen to the clip first),multiple-choice,Hung,Kevin,Sho,Juan,,,Hung,,20,1000,Host plays the clip from m2021.co/voices before revealing options,,Round 2 · Whose voice is this?,
Clip 3 — whose voice is this? (listen to the clip first),multiple-choice,Luis,Nathan,Kevin,Hung,,,Kevin,,20,1000,Host plays the clip from m2021.co/voices before revealing options,,Round 2 · Whose voice is this?,
Clip 4 — whose voice is this? (listen to the clip first),multiple-choice,Michelle,Ezza,Bella,Thao Chi,,,Michelle,,20,1000,Host plays the clip from m2021.co/voices before revealing options,,Round 2 · Whose voice is this?,
Clip 5 — whose voice is this? (listen to the clip first),multiple-choice,Juan,Luis,Cristi,Ahmed,,,Luis,,20,1000,Host plays the clip from m2021.co/voices before revealing options,,Round 2 · Whose voice is this?,
Clip 6 — whose voice is this? (listen to the clip first),multiple-choice,Nathan,Kevin,Sho,Hung,,,Nathan,,20,1000,Host plays the clip from m2021.co/voices before revealing options,,Round 2 · Whose voice is this?,
Clip 7 — whose voice is this? (listen to the clip first),multiple-choice,Megan,Michelle,Haruna,Nebraska,,,Megan,,20,1000,Host plays the clip from m2021.co/voices before revealing options,,Round 2 · Whose voice is this?,
"Who wrote ""my forever rooms <3""?",multiple-choice,Nebraska,Bani,Siyu,Dulce,,,Bani,,20,1000,,,Round 3 · Guess the reflection,
"Who wrote ""I can't wait to hear how PETER AND JOHN ARE DOING!""?",multiple-choice,Bella,Ezza,Byungchul,Juan,,,Ezza,,20,1000,,,Round 3 · Guess the reflection,
Who listed 18 people in alphabetical order and nothing else?,multiple-choice,Nathan,Siyu,Sho,Bani,,,Sho,,20,1000,,,Round 3 · Guess the reflection,
"Who wrote ""Bianca and Marley! Been a minute since we were roomies (London bb!)""?",multiple-choice,Bella,Nebraska,Ezza,Dulce,,,Nebraska,,20,1000,,,Round 3 · Guess the reflection,
"Who wrote the longest reflection, 510 characters, including ""my Hyderabaddies, my crushes lmao""?",multiple-choice,Juan,Bani,Nathan,Siyu,,,Nathan,,20,1000,,,Round 3 · Guess the reflection,
"Who wrote the shortest reflection, one line about Abisayo?",multiple-choice,Dulce,Bella,Nebraska,Juan,,,Dulce,,20,1000,,,Round 3 · Guess the reflection,
Who gave a shout-out to Ram for the latest RSVP?,multiple-choice,Siyu,Bella,Ezza,Nathan,,,Bella,,20,1000,,,Round 3 · Guess the reflection,
"Who wrote ""we need new stickers for the group chat!!!!""?",multiple-choice,Michelle,Kevin,Bani,Audrey,,,Bani,,20,1000,,,Round 3 · Guess the reflection,
